Ref,Val,Package,PosX,PosY,Rot,Side
"H1","IDC-Header_2x10_P2.54mm_Vertical","IDC-Header_2x10_P2.54mm_Vertical",78.000000,-28.000000,0.000000,bottom
"H2","IDC-Header_2x10_P2.54mm_Vertical","IDC-Header_2x10_P2.54mm_Vertical",78.000000,-70.000000,0.000000,bottom
"J1","USB_C_Receptacle_HRO_TYPE-C-31-M-12","USB_C_Receptacle_HRO_TYPE-C-31-M-12",86.000000,-14.000000,90.000000,bottom
"J2","TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm","TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm",14.000000,-14.000000,90.000000,bottom
"BAT1","BatteryHolder_Keystone_3002_1x2032","BatteryHolder_Keystone_3002_1x2032",52.000000,-78.000000,0.000000,top
"C1","C_0402_1005Metric","C_0402_1005Metric",52.000000,-22.000000,0.000000,top
"C2","C_0402_1005Metric","C_0402_1005Metric",55.000000,-22.000000,0.000000,top
"C3","C_0402_1005Metric","C_0402_1005Metric",58.000000,-22.000000,0.000000,top
"C4","C_0402_1005Metric","C_0402_1005Metric",61.000000,-22.000000,0.000000,top
"C5","C_0402_1005Metric","C_0402_1005Metric",64.000000,-22.000000,0.000000,top
"C6","C_0402_1005Metric","C_0402_1005Metric",67.000000,-22.000000,0.000000,top
"C7","C_0402_1005Metric","C_0402_1005Metric",70.000000,-22.000000,0.000000,top
"C8","C_0402_1005Metric","C_0402_1005Metric",73.000000,-22.000000,0.000000,top
"D1","LED_0603_1608Metric","LED_0603_1608Metric",42.000000,-30.000000,0.000000,top
"D2","LED_0603_1608Metric","LED_0603_1608Metric",42.000000,-56.000000,0.000000,top
"J3","JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical","JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical",8.000000,-66.000000,0.000000,top
"J4","JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical","JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical",25.000000,-10.000000,0.000000,top
"J5","JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical","JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical",42.000000,-10.000000,0.000000,top
"R1","R_0402_1005Metric","R_0402_1005Metric",20.000000,-22.000000,0.000000,top
"R2","R_0402_1005Metric","R_0402_1005Metric",23.000000,-22.000000,0.000000,top
"R3","R_0402_1005Metric","R_0402_1005Metric",26.000000,-22.000000,0.000000,top
"R4","R_0402_1005Metric","R_0402_1005Metric",29.000000,-22.000000,0.000000,top
"R5","R_0402_1005Metric","R_0402_1005Metric",32.000000,-22.000000,0.000000,top
"R6","R_0402_1005Metric","R_0402_1005Metric",35.000000,-22.000000,0.000000,top
"R7","R_0402_1005Metric","R_0402_1005Metric",38.000000,-22.000000,0.000000,top
"R8","R_0402_1005Metric","R_0402_1005Metric",41.000000,-22.000000,0.000000,top
"R9","R_0402_1005Metric","R_0402_1005Metric",44.000000,-22.000000,0.000000,top
"R10","R_0402_1005Metric","R_0402_1005Metric",47.000000,-22.000000,0.000000,top
"SW1","SW_Tactile_SPST_Angled_PTS645Vx39-2LFS","SW_Tactile_SPST_Angled_PTS645Vx39-2LFS",60.000000,-5.000000,0.000000,top
"SW2","SW_Tactile_SPST_Angled_PTS645Vx39-2LFS","SW_Tactile_SPST_Angled_PTS645Vx39-2LFS",71.000000,-5.000000,0.000000,top
"U1","QFN-44-1EP_7x7mm_P0.5mm_EP5.2x5.2mm","QFN-44-1EP_7x7mm_P0.5mm_EP5.2x5.2mm",42.000000,-44.000000,0.000000,top
"U2","SOT-23-6","SOT-23-6",30.000000,-44.000000,0.000000,top
"U3","SOT-89-3","SOT-89-3",22.000000,-58.000000,0.000000,top
"U4","DFN-8-1EP_2x2mm_P0.5mm_EP0.9x1.5mm","DFN-8-1EP_2x2mm_P0.5mm_EP0.9x1.5mm",68.000000,-44.000000,0.000000,top
"U7","SOIC-16_3.9x9.9mm_P1.27mm","SOIC-16_3.9x9.9mm_P1.27mm",68.000000,-56.000000,0.000000,top
"U8_1","SOT-23","SOT-23",8.000000,-42.000000,0.000000,top
"U8_2","SOT-23","SOT-23",14.000000,-42.000000,0.000000,top
"U9","SOIC-14_3.9x8.7mm_P1.27mm","SOIC-14_3.9x8.7mm_P1.27mm",8.000000,-54.000000,0.000000,top
"U10","QFN-24-1EP_4x4mm_P0.5mm_EP2.5x2.5mm","QFN-24-1EP_4x4mm_P0.5mm_EP2.5x2.5mm",30.000000,-68.000000,0.000000,top
"U11","Hirose_FH12-18S-0.5SH_1x18-1MP_P0.50mm_Horizontal","Hirose_FH12-18S-0.5SH_1x18-1MP_P0.50mm_Horizontal",50.000000,-94.000000,0.000000,top
